Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Vehicle Type_Bike,Vehicle Type_Go Mini,Vehicle Type_Go Sedan,Vehicle Type_Premier Sedan,Vehicle Type_Uber XL,Vehicle Type_eBike,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_UPI,Payment Method_Uber Wallet
3.1,4.5,300,7.2,4,4.8,1,,,,,,1,,,
2,2.8,150,3.5,4.9,4.9,,1,,,,,,1,,
5.2,8.1,600,12.4,4.5,3.9,,,1,,,,,,1,
4.3,3.6,250,6.7,3.8,4.2,,,,1,,,,,,1
3.4,7,350,10.4,4.1,3.7,,,,,1,,,1,,
6.5,15.2,120,18,3,2.5,,,,,,1,,,1,
8,20,80,25,2.8,3.1,1,,,,,,,,,1
10.5,30,50,20,2.1,3.5,,1,,,,,1,,,
8.2,25,120,35,2,2.5,,,1,,,,,1,,
12,40,70,40,1.8,1.5,,,,1,,,,,1,
