feature,importance
Ride Distance,0.2292158508524065
Customer Rating,0.21301585026476635
Time,0.1840838235963351
Avg CTAT,0.17564023071458357
Booking Value,0.07671186559716166
Payment Method_UPI,0.046869053665249676
Driver Ratings,0.039519184399674265
Avg VTAT,0.020633299492589845
Payment Method_Uber Wallet,0.0040594195367897965
Payment Method_Credit Card,0.0024759334387625246
Date,0.0019000728824710425
Pickup Location,0.0017335210130793495
Drop Location,0.0017166370108443437
Payment Method_Debit Card,0.0014999618661755232
Vehicle Type_Go Sedan,0.0001849752465031919
Vehicle Type_Go Mini,0.00018494286423028535
Vehicle Type_Bike,0.00018039814984436648
Vehicle Type_Premier Sedan,0.0001572960078053654
Vehicle Type_eBike,0.00012415677334128703
Vehicle Type_Uber XL,9.352662738595792e-05
