Date,Time,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Vehicle Type_Bike,Vehicle Type_Go Mini,Vehicle Type_Go Sedan,Vehicle Type_Premier Sedan,Vehicle Type_Uber XL,Vehicle Type_eBike,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_UPI,Payment Method_Uber Wallet,success_probability,predicted_success
,,,,3.1,4.5,300,7.2,4.0,4.8,1.0,,,,,,1.0,,,,0.984,1
,,,,2.0,2.8,150,3.5,4.9,4.9,,1.0,,,,,,1.0,,,0.983,1
,,,,5.2,8.1,600,12.4,4.5,3.9,,,1.0,,,,,,1.0,,0.982,1
,,,,4.3,3.6,250,6.7,3.8,4.2,,,,1.0,,,,,,1.0,0.982,1
,,,,3.4,7.0,350,10.4,4.1,3.7,,,,,1.0,,,1.0,,,0.983,1
,,,,6.5,15.2,120,18.0,3.0,2.5,,,,,,1.0,,,1.0,,0.982,1
,,,,8.0,20.0,80,25.0,2.8,3.1,1.0,,,,,,,,,1.0,0.982,1
,,,,10.5,30.0,50,20.0,2.1,3.5,,1.0,,,,,1.0,,,,0.984,1
,,,,8.2,25.0,120,35.0,2.0,2.5,,,1.0,,,,,1.0,,,0.983,1
,,,,12.0,40.0,70,40.0,1.8,1.5,,,,1.0,,,,,1.0,,0.982,1
